task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=1.0,sigma=0.2",0.14464205248226678,0.317053240440092,0.11865141310082246,0.3507054147484577
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,uniform,uniform,0.1042737929699459,0.33925082268130813,0.06877366617902067,1.0
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.2,sigma=0.05",0.11181173046340512,0.3367651708228747,0.0778259588983054,0.42207118502405033
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.2,sigma=0.1",0.10562100482439223,0.3046051175577862,0.07555865685747662,0.8018071097372316
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.09740591414517259,0.3149704100178406,0.06453645793419398,0.937538332232813
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.5,sigma=0.05",0.14582802654453436,0.34170624536382854,0.11623491434881364,0.10462517925146415
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.5,sigma=0.1",0.11117507632141523,0.2885394752891847,0.08437901604570905,0.3929439498225671
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.5,sigma=0.2",0.10416644697700957,0.3006351740721469,0.0744841213007658,0.7060181943079418
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.8,sigma=0.05",0.16540665688018816,0.33621804365714114,0.13960062002899387,0.04365230567533511
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.8,sigma=0.1",0.12769492995645054,0.2748562619181974,0.10546192296942404,0.20181943946261613
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=0.8,sigma=0.2",0.10670001710384892,0.2905796355061614,0.07891964310062187,0.4840343969139073
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=1.0,sigma=0.05",4.170400697948824,0.36419982825460406,4.745438239413418,0.02838351779031518
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=1.0,sigma=0.1",0.562903047334164,0.2624579389795426,0.6082940349273083,0.13928412943001153
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,weakspot,"weakspot|alpha=1.0,sigma=0.2",0.13082476484296768,0.28354720179917087,0.10775159091433265,0.3751533853754508
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,loss,loss|alpha=0.2,0.10274899018443504,0.31762714777273154,0.0702853836423183,0.9415646696302835
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,loss,loss|alpha=0.5,0.10506163663733756,0.3099243229501325,0.07411115884907359,0.7205196880749304
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,loss,loss|alpha=0.8,0.11061546698234428,0.3052626087729622,0.08120834484131566,0.5017584008438873
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,loss,loss|alpha=1.0,0.11469492534756441,0.2911274355012551,0.08803965402938091,0.3919188667168747
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.1,lam=2",0.09992968511657527,0.31897809790151455,0.06683604001957005,0.9307692307692305
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.1,lam=5",0.10783318767322743,0.30107212542055617,0.07863881578334324,0.5764705882352938
synthetic,hard,gauss,4001,0.13029219520821372,0.3916617939502144,0.09080470187309131,0.035,0.2503111347311084,0.7344319726545048,0.015571136125889758,jtt,"jtt|q=0.1,lam=10",0.11882095040339669,0.2933974507212185,0.09244608344890563,0.3311926605504588
