task,region,noise,seed,p_check,ratio
synthetic,hole,gauss,4036,0.015,2.9763132121569305
synthetic,hole,gauss,4037,0.015,2.270027645071977
synthetic,hole,gauss,4038,0.015,2.8893268068994282
synthetic,hole,gauss,4039,0.005,4.7143656074893
synthetic,hole,gauss,4040,0.01,2.642895917956129
synthetic,hole,gauss,4041,0.005,3.946733294281767
synthetic,hole,gauss,4042,0.02,2.6541908358566184
synthetic,hole,gauss,4043,0.005,5.397369840286602
synthetic,hole,gauss,4044,0.015,2.0660235640483755
synthetic,hole,gauss,4045,0.03,2.781138133007845
synthetic,hole,gauss,4046,0.055,2.701359582995386
synthetic,hole,gauss,4047,0.005,2.8726492830463632
synthetic,hole,gauss,4048,0.005,3.814191375443811
synthetic,hole,gauss,4049,0.015,3.844039550861338
synthetic,hole,outlier,4000,0.29,3.2879839356957996
synthetic,hole,outlier,4001,0.925,2.597572756256758
synthetic,hole,outlier,4002,0.455,3.685331519173594
synthetic,hole,outlier,4003,0.605,2.138303724850928
synthetic,hole,outlier,4004,0.07,3.2949455716519482
synthetic,hole,outlier,4005,0.325,5.080442386050193
synthetic,hole,outlier,4006,0.325,3.255986411895797
synthetic,hole,outlier,4007,0.39,3.1702348977114805
synthetic,hole,outlier,4008,0.175,2.77558714207908
synthetic,hole,outlier,4009,0.19,2.7957497877026323
synthetic,hole,outlier,4010,0.445,2.3714194415220673
synthetic,hole,outlier,4011,0.43,2.4569112414925596
synthetic,hole,outlier,4012,0.195,3.4038237116633385
synthetic,hole,outlier,4013,0.605,3.651214497826698
synthetic,hole,outlier,4014,0.16,2.7863923714455883
synthetic,hole,outlier,4015,0.695,3.0744435416796354
synthetic,hole,outlier,4016,0.27,3.2971143731050123
synthetic,hole,outlier,4017,0.105,3.52793146850607
synthetic,hole,outlier,4018,0.475,3.5943392008390247
synthetic,hole,outlier,4019,0.395,2.6007777401659786
synthetic,hole,outlier,4020,0.83,2.7356666651119963
synthetic,hole,outlier,4021,0.625,2.353278493006101
synthetic,hole,outlier,4022,0.9,3.2131338747395
synthetic,hole,outlier,4023,0.615,3.9964871679302405
synthetic,hole,outlier,4024,0.485,2.4671172517320152
synthetic,hole,outlier,4025,0.395,2.972624918423237
synthetic,hole,outlier,4026,0.415,4.785974307407664
synthetic,hole,outlier,4027,0.815,3.0717856259436838
synthetic,hole,outlier,4028,0.625,2.472460495935102
synthetic,hole,outlier,4029,0.795,4.5446344632186
synthetic,hole,outlier,4030,0.85,2.3345648767130953
synthetic,hole,outlier,4031,0.575,4.164842013366111
synthetic,hole,outlier,4032,0.455,3.4126964850853008
synthetic,hole,outlier,4033,0.375,3.249255142177747
synthetic,hole,outlier,4034,0.375,2.6509319090621335
synthetic,hole,outlier,4035,0.46,3.0117619835420624
synthetic,hole,outlier,4036,0.12,2.035924375293779
synthetic,hole,outlier,4037,0.61,2.521997691653579
synthetic,hole,outlier,4038,0.12,2.399281001188013
synthetic,hole,outlier,4039,0.835,3.5691703777223585
synthetic,hole,outlier,4040,0.775,3.894684161146775
synthetic,hole,outlier,4041,0.45,3.72924270876812
synthetic,hole,outlier,4042,0.61,3.1872464669037464
synthetic,hole,outlier,4043,0.115,2.6969771317883553
synthetic,hole,outlier,4044,0.15,2.4159328584398456
synthetic,hole,outlier,4045,0.345,3.5325280749756542
synthetic,hole,outlier,4046,0.44,2.837607822356458
synthetic,hole,outlier,4047,0.875,2.680898967352367
synthetic,hole,outlier,4048,0.505,2.9952310205458086
synthetic,hole,outlier,4049,0.265,3.321972399648093
synthetic,hole,hetero,4000,0.09,3.50040122208357
synthetic,hole,hetero,4001,0.05,3.236914266159177
synthetic,hole,hetero,4002,0.055,3.7647884379253354
synthetic,hole,hetero,4003,0.26,3.922793126685206
synthetic,hole,hetero,4004,0.295,3.2858576708756773
synthetic,hole,hetero,4005,0.085,4.449274731517995
synthetic,hole,hetero,4006,0.12,3.4070698937684867
synthetic,hole,hetero,4007,0.12,3.6497828540956605
synthetic,hole,hetero,4008,0.225,3.77038908576977
synthetic,hole,hetero,4009,0.015,3.5236597806185475
synthetic,hole,hetero,4010,0.04,2.435336570846744
synthetic,hole,hetero,4011,0.2,2.9817303414536678
synthetic,hole,hetero,4012,0.07,3.425251701140833
synthetic,hole,hetero,4013,0.005,4.066679641316417
synthetic,hole,hetero,4014,0.07,3.4732191404198383
synthetic,hole,hetero,4015,0.525,4.138423132412935
synthetic,hole,hetero,4016,0.215,3.122774206010009
synthetic,hole,hetero,4017,0.01,4.351061039483443
synthetic,hole,hetero,4018,0.12,2.9827036284475055
synthetic,hole,hetero,4019,0.015,2.467999987941731
synthetic,hole,hetero,4020,0.12,3.104000013815981
synthetic,hole,hetero,4021,0.12,3.2255539218788196
synthetic,hole,hetero,4022,0.04,4.804595810543815
synthetic,hole,hetero,4023,0.17,3.384296930860993
synthetic,hole,hetero,4024,0.135,4.064881298132726
synthetic,hole,hetero,4025,0.1,2.93935728246533
synthetic,hole,hetero,4026,0.225,3.7395294880755703
synthetic,hole,hetero,4027,0.04,3.126961270161916
synthetic,hole,hetero,4028,0.045,3.5467036383147104
synthetic,hole,hetero,4029,0.01,3.211750076041998
synthetic,hole,hetero,4030,0.005,3.63931113129266
synthetic,hole,hetero,4031,0.07,2.650478078750705
synthetic,hole,hetero,4032,0.225,4.384504594875164
synthetic,hole,hetero,4033,0.18,3.5538877594366207
synthetic,hole,hetero,4034,0.21,3.5105079858494848
synthetic,hole,hetero,4035,0.06,3.6649518433154253
synthetic,hole,hetero,4036,0.06,3.366048218697069
synthetic,hole,hetero,4037,0.15,4.201603999011978
synthetic,hole,hetero,4038,0.045,3.5614320949866327
synthetic,hole,hetero,4039,0.015,3.953001968511152
synthetic,hole,hetero,4040,0.26,3.6895227397036003
synthetic,hole,hetero,4041,0.345,3.4380026374514574
synthetic,hole,hetero,4042,0.005,4.0933599397778435
synthetic,hole,hetero,4043,0.055,3.1167018688104107
synthetic,hole,hetero,4044,0.38,3.1676454409989936
synthetic,hole,hetero,4045,0.01,2.8209405818585656
synthetic,hole,hetero,4046,0.005,5.341227176175926
synthetic,hole,hetero,4047,0.025,4.047493858647409
synthetic,hole,hetero,4048,0.03,4.075250654896818
synthetic,hole,hetero,4049,0.005,3.509379551392434
synthetic,none,gauss,4000,0.025,4.188866396377377
synthetic,none,gauss,4001,0.085,2.2878823615452633
synthetic,none,gauss,4002,0.03,4.915850537463464
synthetic,none,gauss,4003,0.03,2.644892506223555
synthetic,none,gauss,4004,0.005,3.830216645448786
synthetic,none,gauss,4005,0.005,8.687409463086096
synthetic,none,gauss,4006,0.01,2.1394851818349885
synthetic,none,gauss,4007,0.02,3.4594723122780406
synthetic,none,gauss,4008,0.065,2.919143762835941
synthetic,none,gauss,4009,0.03,2.2577781670708106
synthetic,none,gauss,4010,0.095,2.1861144351768145
synthetic,none,gauss,4011,0.145,2.7089337318183704
synthetic,none,gauss,4012,0.005,4.3054275369455794
synthetic,none,gauss,4013,0.01,2.967509421025767
synthetic,none,gauss,4014,0.005,4.7969364733996205
synthetic,none,gauss,4015,0.005,2.2651445129746977
synthetic,none,gauss,4016,0.01,2.9040194718048964
synthetic,none,gauss,4017,0.015,2.7910743610329027
synthetic,none,gauss,4018,0.005,3.168298134060901
synthetic,none,gauss,4019,0.01,4.228917360634327
synthetic,none,gauss,4020,0.005,4.254726095023242
synthetic,none,gauss,4021,0.105,2.3901025027661245
synthetic,none,gauss,4022,0.005,3.3762407957932465
synthetic,none,gauss,4023,0.005,2.8652518912613414
synthetic,none,gauss,4024,0.04,3.57974838010565
synthetic,none,gauss,4025,0.015,3.6696454249462938
synthetic,none,gauss,4026,0.01,2.9902229103359153
synthetic,none,gauss,4027,0.005,3.5346026404098163
synthetic,none,gauss,4028,0.02,4.2585169035873065
synthetic,none,gauss,4029,0.005,3.680178886830548
synthetic,none,gauss,4030,0.01,2.725100961940853
synthetic,none,gauss,4031,0.025,3.5084864332257077
synthetic,none,gauss,4032,0.035,2.5985071827893274
synthetic,none,gauss,4033,0.015,2.5391041018957927
synthetic,none,gauss,4034,0.015,2.9395967700335706
synthetic,none,gauss,4035,0.015,3.665904773781733
synthetic,none,gauss,4036,0.025,2.2604949845329014
synthetic,none,gauss,4037,0.01,2.7138790447238175
synthetic,none,gauss,4038,0.005,2.5491709495659975
synthetic,none,gauss,4039,0.015,2.739037135207415
synthetic,none,gauss,4040,0.005,3.048086676455881
synthetic,none,gauss,4041,0.005,3.220643460760301
synthetic,none,gauss,4042,0.04,2.443516183920709
synthetic,none,gauss,4043,0.01,5.2046929691316635
synthetic,none,gauss,4044,0.005,2.4152429910525677
synthetic,none,gauss,4045,0.025,3.6068392830904523
synthetic,none,gauss,4046,0.02,2.995155178674356
synthetic,none,gauss,4047,0.02,3.257448610367539
synthetic,none,gauss,4048,0.035,2.5913873592000254
synthetic,none,gauss,4049,0.06,2.089123980357598
synthetic,none,outlier,4000,0.185,3.686192757467474
synthetic,none,outlier,4001,0.765,3.8931503637126648
synthetic,none,outlier,4002,0.67,3.171880489443773
synthetic,none,outlier,4003,0.11,3.6092279189978904
synthetic,none,outlier,4004,0.03,2.330479672252336
synthetic,none,outlier,4005,0.4,3.3755757706929757
synthetic,none,outlier,4006,0.785,2.3722792004701505
synthetic,none,outlier,4007,0.455,2.612372705685084
synthetic,none,outlier,4008,0.93,3.166401487179253
synthetic,none,outlier,4009,0.47,3.1377805510994423
synthetic,none,outlier,4010,0.48,2.7427526628644197
synthetic,none,outlier,4011,0.425,3.2674627737695405
synthetic,none,outlier,4012,0.16,2.582377367986591
synthetic,none,outlier,4013,0.15,4.271922285396247
synthetic,none,outlier,4014,0.01,3.1612096306283832
synthetic,none,outlier,4015,0.59,2.6381809993766048
synthetic,none,outlier,4016,0.12,3.411590172793968
synthetic,none,outlier,4017,0.415,2.8597704637162518
synthetic,none,outlier,4018,0.695,2.8736270533248938
synthetic,none,outlier,4019,0.7,4.00291166078521
synthetic,none,outlier,4020,0.165,2.1737077853902207
synthetic,none,outlier,4021,0.18,3.227586803760423
synthetic,none,outlier,4022,0.52,2.6958991980878686
synthetic,none,outlier,4023,0.505,4.0423104807966945
synthetic,none,outlier,4024,0.27,3.295912800159656
synthetic,none,outlier,4025,0.52,2.9633167612283655
synthetic,none,outlier,4026,0.91,2.757764504997895
synthetic,none,outlier,4027,0.595,2.89957282087684
synthetic,none,outlier,4028,0.3,2.514709935553965
synthetic,none,outlier,4029,0.735,2.276236354699634
synthetic,none,outlier,4030,0.845,3.387105299321234
synthetic,none,outlier,4031,0.59,4.407899999931527
synthetic,none,outlier,4032,0.465,3.106105686047064
synthetic,none,outlier,4033,0.495,3.984101233912334
synthetic,none,outlier,4034,0.51,3.078573657030021
synthetic,none,outlier,4035,0.175,3.227177156524724
synthetic,none,outlier,4036,0.21,2.7339560042966364
synthetic,none,outlier,4037,0.695,2.8300415543438273
synthetic,none,outlier,4038,0.35,3.7608187298138898
synthetic,none,outlier,4039,0.64,2.096222449349311
synthetic,none,outlier,4040,0.21,3.44541753631049
synthetic,none,outlier,4041,0.7,3.1001983112023503
synthetic,none,outlier,4042,0.66,2.9505058405989844
synthetic,none,outlier,4043,0.155,3.358941261393323
synthetic,none,outlier,4044,0.475,2.42330008800953
synthetic,none,outlier,4045,0.2,2.4130062762305937
synthetic,none,outlier,4046,0.785,2.4747282134928024
synthetic,none,outlier,4047,0.015,2.846823162029478
synthetic,none,outlier,4048,0.545,2.2692566843194926
synthetic,none,outlier,4049,0.66,3.083205301525127
synthetic,none,hetero,4000,0.085,3.4545364371557454
synthetic,none,hetero,4001,0.31,4.287412439410746
synthetic,none,hetero,4002,0.035,2.9080803170842433
synthetic,none,hetero,4003,0.085,3.023398005513322
synthetic,none,hetero,4004,0.015,2.7745876694839504
synthetic,none,hetero,4005,0.05,4.062169558395022
synthetic,none,hetero,4006,0.05,4.465848045166881
synthetic,none,hetero,4007,0.19,3.806313025474906
synthetic,none,hetero,4008,0.415,3.2981656690679864
synthetic,none,hetero,4009,0.3,4.783412261525077
synthetic,none,hetero,4010,0.115,4.478251902233403
synthetic,none,hetero,4011,0.13,3.876872790891096
synthetic,none,hetero,4012,0.385,3.3521466858360798
synthetic,none,hetero,4013,0.005,4.564349888746887
synthetic,none,hetero,4014,0.195,5.033887082811641
synthetic,none,hetero,4015,0.45,4.003024149420721
synthetic,none,hetero,4016,0.28,3.6549492803807078
synthetic,none,hetero,4017,0.03,4.361222147867767
synthetic,none,hetero,4018,0.105,3.960988064447097
synthetic,none,hetero,4019,0.075,3.5694924747837824
synthetic,none,hetero,4020,0.06,4.666930561599963
synthetic,none,hetero,4021,0.14,3.859829216278653
synthetic,none,hetero,4022,0.2,3.2812254871832334
synthetic,none,hetero,4023,0.015,2.417405583691129
synthetic,none,hetero,4024,0.165,3.8757950105062116
synthetic,none,hetero,4025,0.11,2.6001805051327787
synthetic,none,hetero,4026,0.145,3.782082533012892
synthetic,none,hetero,4027,0.035,3.6137641072774525
synthetic,none,hetero,4028,0.14,4.40469257927214
synthetic,none,hetero,4029,0.16,3.65872736957646
synthetic,none,hetero,4030,0.005,2.764959593728709
synthetic,none,hetero,4031,0.085,3.808149981389817
synthetic,none,hetero,4032,0.145,4.571523139220387
synthetic,none,hetero,4033,0.085,4.95781051428953
synthetic,none,hetero,4034,0.21,3.9234681087993786
synthetic,none,hetero,4035,0.115,4.202571272571828
synthetic,none,hetero,4036,0.085,4.15297412724709
synthetic,none,hetero,4037,0.265,3.424092575149598
synthetic,none,hetero,4038,0.325,3.2698001311480676
synthetic,none,hetero,4039,0.19,4.084189829617002
synthetic,none,hetero,4040,0.225,3.0970008196628958
synthetic,none,hetero,4041,0.16,4.44344504612578
synthetic,none,hetero,4042,0.14,4.392546306618013
synthetic,none,hetero,4043,0.045,3.27813245903642
synthetic,none,hetero,4044,0.37,3.7156844289372213
synthetic,none,hetero,4045,0.125,3.231736092611491
synthetic,none,hetero,4046,0.185,3.5504058217270154
synthetic,none,hetero,4047,0.03,3.8580944367234458
synthetic,none,hetero,4048,0.24,3.8703957699391327
synthetic,none,hetero,4049,0.005,3.440176140016213
california,real,real,4000,0.08,
california,real,real,4001,0.21,1.5946106476833786
california,real,real,4002,0.115,1.063218348914888
california,real,real,4003,0.62,1.2985700345420408
california,real,real,4004,0.31,1.4097459785369593
california,real,real,4005,0.26,1.133161934137338
california,real,real,4006,0.15,1.3822460890724861
california,real,real,4007,0.32,1.4156140497260292
california,real,real,4008,0.315,1.4090264350670696
california,real,real,4009,0.47,1.5350305447330028
california,real,real,4010,0.615,1.4459590513730551
california,real,real,4011,0.41,1.6175174826750804
california,real,real,4012,0.185,1.4173156089919021
california,real,real,4013,0.5,1.2374548635582914
california,real,real,4014,0.31,1.2736810422536275
california,real,real,4015,0.03,1.1176957838342478
california,real,real,4016,0.635,1.2513441635893945
california,real,real,4017,0.145,1.15200028846864
california,real,real,4018,0.03,1.4687256425024782
california,real,real,4019,0.305,1.2619046859018566
california,real,real,4020,0.41,1.2287356820635003
california,real,real,4021,0.18,1.4789923241341967
california,real,real,4022,0.08,1.2871764647674555
california,real,real,4023,0.53,1.3597885187767433
california,real,real,4024,0.09,1.3364544114350034
california,real,real,4025,0.69,1.2513432641135018
california,real,real,4026,0.255,1.4763012962643662
california,real,real,4027,0.3,1.2168558717562972
california,real,real,4028,0.43,1.3681158468039476
california,real,real,4029,0.01,1.5020016443375637
california,real,real,4030,0.025,1.2342676209451178
california,real,real,4031,0.285,1.5727104337760434
california,real,real,4032,0.31,1.2911600560821483
california,real,real,4033,0.49,1.4673877425023876
california,real,real,4034,0.105,1.3950945813379938
california,real,real,4035,0.65,1.2981892705202462
california,real,real,4036,0.17,
california,real,real,4037,0.34,1.2396929423832908
california,real,real,4038,0.23,1.208926883720093
california,real,real,4039,0.04,1.464893771174673
california,real,real,4040,0.375,1.4327995053674591
california,real,real,4041,0.145,1.5886999535727921
california,real,real,4042,0.085,1.296069870566825
california,real,real,4043,0.78,1.524972781827093
california,real,real,4044,0.05,1.3842345046827995
california,real,real,4045,0.49,1.3889349794339598
california,real,real,4046,0.14,1.3831306473314193
california,real,real,4047,0.145,1.4724582844463665
california,real,real,4048,0.61,1.2266210570838594
california,real,real,4049,0.165,1.3754128559741519
