dataset,region,noise,arm,mae,mae_p,err_in,err_in_p,ph
houses,sparse_all,clean,rho,0.8149951998022289,0.0003107899432901462,0.7017877332023147,0.25308251223662737,0.0018647396597408772
houses,sparse_all,clean,rho_a1,0.08047192380010101,0.6947463342363385,0.2668156035603685,0.5852066143769612,1.0
houses,sparse_all,clean,ws_default,0.29153096187361416,0.10525460779046192,0.0765270387970758,0.7813934753886187,0.5262730389523096
houses,sparse_all,clean,ws_tuned,0.027620914549600355,0.47831983611594175,-1.139040446883491,0.16588679879439283,1.0
houses,sparse_all,clean,rho_landscape_a1,0.05609172246890154,0.9389922173111831,-0.07458190107847404,0.8557483168795788,1.0
houses,sparse_all,clean,rho_filter_a1,0.005328562701932316,1.0,0.04318665497105328,0.6666519727454681,1.0
houses,sparse_all,clean,all_data,8.185476203013879,1.7763568394002505e-15,8.638127772455126,5.861977570020827e-14,2.1316282072803006e-14
houses,sparse_all,outlier,uniform,2.6326595816418616,5.897913268881894e-10,3.127393339301041,0.0008156048825487261,5.308121941993704e-09
houses,sparse_all,outlier,kcenter,1.80599419177826,1.3054913772236887e-07,2.7026650181973197,0.002525686043762576,9.138439640565821e-07
houses,sparse_all,outlier,kcenter_a1,2.9917324408649115,1.7568968502246207e-09,3.7527320087062574,0.004043947968749961,1.4055174801796966e-08
houses,sparse_all,outlier,loss,-9.87906205314495,1.7763568394002505e-15,-10.607292482715918,4.8571529021046445e-09,2.1316282072803006e-14
houses,sparse_all,outlier,jtt,-21.858041041951292,1.7763568394002505e-15,-20.59024487669248,5.707434524993005e-12,2.1316282072803006e-14
houses,sparse_all,outlier,rho,1.499165826738019,1.6896629077223224e-05,1.479722659929115,0.08226751834101265,0.00010137977446333934
houses,sparse_all,outlier,rho_a1,1.0916371908508173,0.02122367163684835,-0.46429774857919165,0.7089524432753507,0.0424473432736967
houses,sparse_all,outlier,ws_default,0.1747432938994371,0.2260100302518655,0.23633272860373802,0.2954728324166016,0.2260100302518655
houses,sparse_all,outlier,ws_tuned,0.9247457052634307,0.008333363871146915,1.914194430481275,0.038081706053025854,0.025000091613440745
houses,sparse_all,outlier,rho_landscape_a1,1.4489420412717842,0.00039864755038721,1.4071209702516054,0.16888071753563239,0.00199323775193605
houses,sparse_all,outlier,rho_filter_a1,1.3418578828234708,0.001282241835095732,1.6864359092124621,0.06207125225267518,0.005128967340382928
houses,sparse_all,outlier,all_data,9.641903349980232,1.7763568394002505e-15,9.300652341703952,1.9077969426462005e-08,2.1316282072803006e-14
houses,sparse_init,clean,uniform,1.3605722564807228,6.535714192068554e-10,1.1458300320134713,0.04944640680060175,4.5749999344479875e-09
houses,sparse_init,clean,kcenter,1.4639249779458465,4.9116266609416925e-12,0.9685141673268948,0.014890897756602683,4.420463994847523e-11
houses,sparse_init,clean,kcenter_a1,2.1275925521533927,3.0020430585864233e-13,2.3862724839382845,0.00594215911497642,3.0020430585864233e-12
houses,sparse_init,clean,loss,-2.292881154044494,5.610267805877811e-11,-3.754744626446702,0.0002409992117797799,4.488214244702249e-10
