task,region,noise,seed,dim,emb_dim,init_mae,init_in,init_out,const_mae,detect_dist,detect_dist_emb,arm,hp,mae,err_in,err_out,err_in_emb,ess
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,jtt,"jtt|q=0.1,lam=5",0.5432368705089894,0.6713254349894499,0.5290048077889382,0.6765747691864783,0.576470588235294
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,jtt,"jtt|q=0.1,lam=10",0.5654622883325915,0.6993371399820084,0.5505873048159896,0.6965640598186537,0.3311926605504589
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,jtt,"jtt|q=0.1,lam=20",0.5931870647170088,0.7392916547291464,0.5769532213823266,0.745365500426265,0.20562347188264066
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,jtt,"jtt|q=0.2,lam=2",0.5238291832203537,0.6460259122446986,0.5102517688843153,0.6435759317034442,0.8999999999999998
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,jtt,"jtt|q=0.2,lam=5",0.5498858173438643,0.6673104956588547,0.5368386308644209,0.6691367681429863,0.5586206896551724
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,jtt,"jtt|q=0.2,lam=10",0.5756751242511886,0.6824252458663858,0.5638139996272779,0.6951780674434836,0.37692307692307686
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,jtt,"jtt|q=0.2,lam=20",0.597853293445482,0.6918782135710001,0.5874060800982022,0.7170521553645525,0.2851485148514852
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,density,density|alpha=0.2,0.5040769225182437,0.6258153796290234,0.4905504272837127,0.6242991748262068,0.9876203866410409
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,density,density|alpha=0.5,0.49971133036590415,0.620971533111662,0.4862379745052643,0.6180947621463637,0.9273492073062988
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,density,density|alpha=0.8,0.4948513285510046,0.6172110120790097,0.481255808159004,0.6088198995064477,0.8329469658541552
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,density,density|alpha=1.0,0.4950910306019454,0.6163717120342583,0.48161539933168845,0.610016259323946,0.7614002189209949
cal8,real,real,3008,8,59,0.4811442246327874,0.3208382886295088,0.4989559952998184,0.9292888959999999,,,uniform,uniform,0.496965606767882,0.34737514413951986,0.5135867692821444,0.6459229371827131,1.0
cal8,real,real,3008,8,59,0.4811442246327874,0.3208382886295088,0.4989559952998184,0.9292888959999999,,,weakspot,"weakspot|alpha=0.2,q=0.03",0.49699429260232975,0.3476316710147103,0.5135901394453984,0.6460428917389831,0.9970263109519156
cal8,real,real,3008,8,59,0.4811442246327874,0.3208382886295088,0.4989559952998184,0.9292888959999999,,,weakspot,"weakspot|alpha=0.2,q=0.1",0.4968431497991004,0.34726719607051115,0.5134627002133881,0.6462512179284279,0.9980641799139905
cal8,real,real,3008,8,59,0.4811442246327874,0.3208382886295088,0.4989559952998184,0.9292888959999999,,,weakspot,"weakspot|alpha=0.2,q=0.3",0.4970536102301396,0.34718153396517304,0.5137060631484692,0.6458679687732523,0.9988792998321009
cal8,real,real,3008,8,59,0.4811442246327874,0.3208382886295088,0.4989559952998184,0.9292888959999999,,,weakspot,"weakspot|alpha=0.5,q=0.03",0.49709869904999837,0.34823871637888115,0.5136386971245669,0.6463708488479059,0.981700138463101
cal8,real,real,3008,8,59,0.4811442246327874,0.3208382886295088,0.4989559952998184,0.9292888959999999,,,weakspot,"weakspot|alpha=0.5,q=0.1",0.4971730417238524,0.3480315806140991,0.5137443151804917,0.6451426291624478,0.9880228489130893
cal8,real,real,3008,8,59,0.4811442246327874,0.3208382886295088,0.4989559952998184,0.9292888959999999,,,weakspot,"weakspot|alpha=0.5,q=0.3",0.4967758214320264,0.34675510914831476,0.51344478946355,0.6462068748362749,0.993036594372374
cal8,real,real,3008,8,59,0.4811442246327874,0.3208382886295088,0.4989559952998184,0.9292888959999999,,,weakspot,"weakspot|alpha=0.8,q=0.03",0.49885050391157437,0.3499303881302215,0.5153971834428358,0.6490052273905156,0.9544526309197006
