dataset,region,noise,seed,n_init,iters_initial,init_mae,init_in,init_out,region_share_R,prec_knn,prec_evtgpr,arm,alpha,top_q,mae,err_in,err_out,n_in_region,error
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.75,0.85,0.2144090400069826,0.4801663982176109,0.18347942282198904,38.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.75,0.95,0.2274941008436463,0.4854609597255116,0.19747116471366083,28.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_evtgpr,0.75,0.85,0.20938627642842986,0.4640112740981923,0.17975227586234252,34.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,1.0,0.7,0.21177673777607842,0.4656796466116744,0.18222677601653514,43.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,1.0,0.85,0.21268007250312523,0.4647834022382942,0.1833395510128753,47.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,1.0,0.95,0.22228753679528662,0.47138247413709483,0.1932971407943003,29.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_evtgpr,1.0,0.85,0.21873409453138543,0.4585066967160106,0.19082865911107041,43.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,random,0.0,,0.1701524960420746,0.4599748637793142,0.1419256262075835,,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.1,0.7,0.17473407994180304,0.4475636473771653,0.14816220163191182,24.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.1,0.85,0.18538927940295274,0.4494225995970985,0.15967410006991523,33.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.1,0.95,0.17271642847760518,0.4317004984864577,0.14749301425177733,34.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_evtgpr,0.1,0.85,0.17626892510369424,0.43437686887067983,0.15113084004545557,28.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.2,0.7,0.17622165936899983,0.44043550789452857,0.15048889771562188,34.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.2,0.85,0.17216286056643196,0.44024808973621177,0.14605305086676892,33.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.2,0.95,0.1626114648950915,0.4173230762750322,0.1378041611804471,33.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_evtgpr,0.2,0.85,0.17401532652125667,0.4639739339948143,0.1457751877961228,37.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.35,0.7,0.17072503997879837,0.4873240445580248,0.13989029467684355,21.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.35,0.85,0.1607675554291952,0.4158002065511963,0.13592898446943932,34.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,0.35,0.95,0.16977207605601638,0.4035334047889992,0.14700519767461478,43.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_evtgpr,0.35,0.85,0.16530905122261624,0.41513939239243175,0.140977152425556,44.0,
