dataset,region,noise,seed,region_share_R,detector,mae,err_in,secs,prec,error
synth2d,hard,clean,6204,0.11,Anchored GPR (QR prior),0.12749622224006807,0.42435495528317935,5.531541347503662,0.24778761061946902,
synth2d,hard,clean,6204,0.11,Gated GPR (QR anchor),0.12641358273864772,0.4202586371347778,4.99016261100769,0.10176991150442478,
synth2d,hard,clean,6204,0.11,QR × GPR (geometric),0.13950863710638303,0.43153619747522387,5.683444499969482,0.1413673232908459,
synth2d,hard,clean,6204,0.11,EVT × GPR (geometric),0.12294448816176691,0.4122607627248043,4.8699049949646,0.22566371681415928,
synth2d,hard,clean,6204,0.11,GPR/kNN (variance-weighted),0.12782508827787104,0.42982999969012325,6.012395858764648,0.23893805309734514,
synth2d,hard,clean,6204,0.11,GPR/kNN (disagreement-amplified),0.1331320694681135,0.4427051357092037,5.3945841789245605,0.252212389380531,
synth2d,hard,clean,6204,0.11,Local GPR (QR-localised),0.12518125525713056,0.43457530184561827,0.7208600044250488,0.07079646017699115,
synth2d,hard,outlier,6200,0.09533333333333334,random,0.19853536170065395,0.38503274846950386,,,
synth2d,hard,outlier,6200,0.09533333333333334,"kNN (LOO, default)",0.19455504490522935,0.3754420819273906,0.011528730392456055,0.15555555555555556,
synth2d,hard,outlier,6200,0.09533333333333334,Gaussian Process Regression,0.1865461627654198,0.3789875814408182,3.69926381111145,0.19469026548672566,
synth2d,hard,outlier,6200,0.09533333333333334,Polynomial Response Surface,0.20234555314800157,0.3801732845784821,0.011449575424194336,0.0,
synth2d,hard,outlier,6200,0.09533333333333334,RBF Interpolation,0.19075524361134444,0.3737173201710393,0.07634758949279785,0.10176991150442478,
synth2d,hard,outlier,6200,0.09533333333333334,kNN Performance Mapping,0.18966221407753184,0.3926229014782711,0.021547794342041016,0.14601769911504425,
synth2d,hard,outlier,6200,0.09533333333333334,LOESS Local Regression,0.20446149881822995,0.37002086754792973,0.36159825325012207,0.05752212389380531,
synth2d,hard,outlier,6200,0.09533333333333334,Quantile Regression,0.1943360440596761,0.38761683917876427,0.2941739559173584,0.09533333333333334,
synth2d,hard,outlier,6200,0.09533333333333334,Peaks over Threshold (EVT),0.19423202872603343,0.3823774764051815,0.030778884887695312,0.1504424778761062,
synth2d,hard,outlier,6200,0.09533333333333334,Bayesian Optimization (EI),0.19538184367453187,0.3953967046013469,5.08505916595459,0.13274336283185842,
synth2d,hard,outlier,6200,0.09533333333333334,kNN + GPR (mean),0.1733518332155233,0.3809462578038187,3.559481620788574,0.17699115044247787,
synth2d,hard,outlier,6200,0.09533333333333334,kNN + Quantile (mean),0.19611566384998297,0.3752780240293389,0.17707490921020508,0.14601769911504425,
synth2d,hard,outlier,6200,0.09533333333333334,Anchored GPR (QR prior),0.1992069498156731,0.37842308673341934,3.4200148582458496,0.19469026548672566,
synth2d,hard,outlier,6200,0.09533333333333334,Gated GPR (QR anchor),0.20316075010174472,0.3887930545407259,5.148782014846802,0.3274336283185841,
synth2d,hard,outlier,6200,0.09533333333333334,QR × GPR (geometric),0.21081280054585128,0.4019147779845216,3.7682666778564453,0.09533333333333334,
synth2d,hard,outlier,6200,0.09533333333333334,EVT × GPR (geometric),0.19007762887268448,0.38623924011638544,3.861663818359375,0.14601769911504425,
synth2d,hard,outlier,6200,0.09533333333333334,GPR/kNN (variance-weighted),0.18755600972519226,0.38390017987531183,3.7583956718444824,0.14601769911504425,
synth2d,hard,outlier,6200,0.09533333333333334,GPR/kNN (disagreement-amplified),0.19157203192301958,0.36804960636591383,3.5143868923187256,0.22566371681415928,
synth2d,hard,outlier,6200,0.09533333333333334,Local GPR (QR-localised),0.21204372910577657,0.3739984686810292,2.2584314346313477,0.3053097345132743,
synth2d,hard,outlier,6201,0.09266666666666666,random,0.18762370381827215,0.39016479375666063,,,
synth2d,hard,outlier,6201,0.09266666666666666,"kNN (LOO, default)",0.1749557650922011,0.4111402641600481,0.008686542510986328,0.1511111111111111,
synth2d,hard,outlier,6201,0.09266666666666666,Gaussian Process Regression,0.18232401754453592,0.4125032118253722,3.020362138748169,0.25663716814159293,
synth2d,hard,outlier,6201,0.09266666666666666,Polynomial Response Surface,0.18815121222767023,0.40759125535450624,0.013554573059082031,0.13274336283185842,
synth2d,hard,outlier,6201,0.09266666666666666,RBF Interpolation,0.18536550031015112,0.41582450314748254,0.05550384521484375,0.12389380530973451,
synth2d,hard,outlier,6201,0.09266666666666666,kNN Performance Mapping,0.17516657983780928,0.4315039441590832,0.021605253219604492,0.16371681415929204,
synth2d,hard,outlier,6201,0.09266666666666666,LOESS Local Regression,0.17414826913861123,0.3984287379458032,0.3559138774871826,0.22123893805309736,
synth2d,hard,outlier,6201,0.09266666666666666,Quantile Regression,0.20296700373769078,0.3950768453986924,0.2789144515991211,0.11703360370799537,
synth2d,hard,outlier,6201,0.09266666666666666,Peaks over Threshold (EVT),0.19097954279345955,0.39819183746768483,0.019531726837158203,0.22123893805309736,
synth2d,hard,outlier,6201,0.09266666666666666,Bayesian Optimization (EI),0.19360041550896567,0.4115412263863677,3.480333089828491,0.23893805309734514,
synth2d,hard,outlier,6201,0.09266666666666666,kNN + GPR (mean),0.1766619561138018,0.4127991147106759,3.878222942352295,0.19911504424778761,
synth2d,hard,outlier,6201,0.09266666666666666,kNN + Quantile (mean),0.19476618559481795,0.39780928150923034,0.32123708724975586,0.22123893805309736,
