n_data,iters,amp,freq,seed,region,init_mae,const_mae,ratio,p_gate,dist
500,200,2.0,5.0,3006,hard,0.32674413218507775,0.7748384829917367,1.4643913260021173,0.165,0.6459793291610603
500,200,2.0,5.0,3006,none,0.28279032262391074,0.7649647263686042,0.7182918474051251,0.025,0.6406051229059108
500,200,2.0,5.0,3007,hard,0.30749441886240586,0.7739000454559473,1.3592676635147576,0.06,0.6446371296740722
500,200,2.0,5.0,3007,none,0.2882979285670673,0.7707080101283507,0.7461660490834405,0.035,0.6434396212457664
500,200,2.0,5.0,3008,hard,0.318010603615855,0.7683024422508001,1.2910158279114266,0.01,0.6694481324064971
500,200,2.0,5.0,3008,none,0.2829499089328615,0.7657192129253845,0.5369113788721019,0.015,0.6680451514199828
500,200,2.0,5.0,3009,hard,0.307673534248799,0.7547447128019039,1.3168303031677717,0.05,0.6081239631767356
500,200,2.0,5.0,3009,none,0.27906668519005096,0.7462644982817396,0.5512339200272794,0.025,0.6011005488003545
500,200,2.0,5.0,3010,hard,0.34235750770736534,0.764686244167442,1.2862175975488943,0.21,0.640838215825159
500,200,2.0,5.0,3010,none,0.3158561368941136,0.7573480628688757,0.7539444819911735,0.105,0.6320392162175542
500,200,2.0,5.0,3011,hard,0.34098902124496483,0.7649453178288123,1.3599720028930056,0.03,0.599216626796369
500,200,2.0,5.0,3011,none,0.31070891075220897,0.7566508905754039,0.6783935566924185,0.025,0.5988126236389039
500,200,2.0,5.0,3012,hard,0.3103021444033776,0.7526777824491122,1.4296417516987687,0.125,0.5206734194213432
500,200,2.0,5.0,3012,none,0.2853015384915194,0.7455562167555014,0.7597602230694559,0.085,0.505820113107389
500,200,2.0,5.0,3013,hard,0.30892297890868803,0.7609164690813405,1.440921422996566,0.015,0.6422904386060665
500,200,2.0,5.0,3013,none,0.28540747075805295,0.7520350707979753,0.8035102024321629,0.015,0.6291710428386849
500,200,2.0,5.0,3014,hard,0.8287625507287327,0.7790539397283066,1.1604556758894546,0.005,0.31652947946459603
500,200,2.0,5.0,3014,none,0.8249696518452774,0.7690512065012997,1.125466711915387,0.005,0.2845212485201462
500,200,2.0,5.0,3015,hard,0.31786227129172284,0.7717682868582904,1.3162112964266297,0.015,0.6486549715243722
500,200,2.0,5.0,3015,none,0.2959170419664193,0.7646006968767887,0.7146383188154393,0.01,0.6505745624226389
500,200,2.0,5.0,3016,hard,0.33140398540465243,0.7640151501627852,1.2465739628444206,0.075,0.008663685923714668
500,200,2.0,5.0,3016,none,0.30371104272222593,0.7571017532882872,0.5909087377505566,0.025,0.648798754165038
500,200,2.0,5.0,3017,hard,0.31226083142356953,0.7502164020824637,1.4070734985661755,0.075,0.6674360798914339
500,200,2.0,5.0,3017,none,0.28524620848267895,0.7454082293155815,0.665853196086518,0.04,0.6546818816207075
500,200,2.0,5.0,3018,hard,0.32638363583803576,0.7818144865118009,1.5047423729203335,0.005,0.6406175264768946
500,200,2.0,5.0,3018,none,0.297031901837697,0.7722374777125725,0.733799335428388,0.005,0.6355612139968863
500,200,2.0,5.0,3019,hard,0.3090764325443782,0.7600931461764752,1.5275268099245811,0.04,0.6172357564694885
500,200,2.0,5.0,3019,none,0.2849345512701898,0.7498917513414844,0.8395849255398085,0.04,0.6161418187082561
500,200,3.0,3.0,3000,hard,0.7971240270795682,0.7709900544797526,1.148264724015419,0.02,0.2798383067331318
500,200,3.0,3.0,3000,none,0.7817491117385429,0.754907044528664,0.9755556187563124,0.005,0.30183559550182415
500,200,3.0,3.0,3001,hard,0.33500738256952645,0.7893724133171932,1.568782269078048,0.05,0.06542220303248132
500,200,3.0,3.0,3001,none,0.2896302406698355,0.768544443377172,0.6025690393815475,0.01,0.629574812295189
500,200,3.0,3.0,3002,hard,0.34291603579396446,0.7801611951612267,1.5218942957541919,0.045,0.6467634789973692
500,200,3.0,3.0,3002,none,0.2971921291392292,0.7651874545060636,0.6483501091821999,0.015,0.6457186869750876
500,200,3.0,3.0,3003,hard,0.31484559700298187,0.750393961438789,1.7972295103166478,0.005,0.6144618980516838
500,200,3.0,3.0,3003,none,0.2776590876166804,0.7435495688576028,0.7757961765318575,0.005,0.6140122918258111
500,200,3.0,3.0,3004,hard,0.34329354672000895,0.7928299926755032,1.6800991161404113,0.075,0.015680144478249954
500,200,3.0,3.0,3004,none,0.29112195223354026,0.7752247221465973,0.7028920489106567,0.01,0.6274252616917524
500,200,3.0,3.0,3005,hard,0.33473354135176064,0.7892138499585698,1.6745638420274949,0.02,0.6384884192180788
500,200,3.0,3.0,3005,none,0.29552501739671044,0.7674015762475941,0.7712080333537354,0.005,0.6269010047559292
500,200,3.0,3.0,3006,hard,0.3395199536631315,0.7777126887046432,1.5581060425767883,0.05,0.03467355254695349
500,200,3.0,3.0,3006,none,0.28279032262391074,0.7649647263686042,0.7182918474051251,0.025,0.6406051229059108
