task,region,noise,seed,dim,emb_dim,init_mae,init_in,init_out,const_mae,detect_dist,detect_dist_emb,arm,hp,mae,err_in,err_out,err_in_emb,ess
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,random_emb,"random_emb|alpha=1.0,q=0.03",0.6499349976497752,0.851012254486419,0.6187543776898338,0.8149061472947617,0.06000013563736907
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,random_emb,"random_emb|alpha=1.0,q=0.1",0.17987071215957234,0.29484437134214986,0.1620419928465362,0.3248714576288924,0.19998188154212448
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,random_emb,"random_emb|alpha=1.0,q=0.3",0.14174296143135928,0.24464940943494673,0.12578547873487458,0.24959093527549953,0.558665777831233
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,loss,loss|alpha=0.5,0.14411193334173766,0.2150967002725491,0.13310447742436954,0.22880930804507327,0.8341913246006746
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,loss,loss|alpha=1.0,0.15196248577839974,0.22120265377075463,0.14122556108538947,0.22762187356680136,0.5570834952820467
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,smoothed_loss,smoothed_loss|alpha=0.5,0.14320134191411774,0.2309745414416913,0.12959053967724013,0.23635692114847606,0.9670014405453544
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,smoothed_loss,smoothed_loss|alpha=1.0,0.1468172862823978,0.23248289238897143,0.1335333040475638,0.23852650237729056,0.8798955806495247
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,jtt,"jtt|q=0.2,lam=2",0.1446749999677126,0.22516631091639827,0.1321933846112459,0.23512114853073052,0.8999999999999998
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,jtt,"jtt|q=0.2,lam=5",0.14638175690722693,0.2142181657075158,0.13586251014841802,0.22384742111236122,0.5586206896551725
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,jtt,"jtt|q=0.2,lam=10",0.15563367472941428,0.215277185864591,0.14638488308067335,0.22125373450685246,0.3769230769230769
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,oracle,"oracle|alpha=0.5,q=0.03",0.14010934262526095,0.2095396834737268,0.12934292823437846,0.2262443900610818,0.20339022015892644
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,oracle,"oracle|alpha=0.5,q=0.1",0.14770477857741734,0.21525498526244743,0.1372299125682169,0.2381688458997898,0.4999716889477834
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,oracle,"oracle|alpha=0.5,q=0.3",0.14419560536393003,0.22006154609403486,0.13243123627006162,0.2336969202945442,0.8350767332071386
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,oracle,"oracle|alpha=1.0,q=0.03",1.2109228433730213,0.20620595675321332,1.3667221411249233,0.25589846677963984,0.06000013563736907
