task,region,noise,arm,whole,p,inside,p_in,outside,gate_pass,detect_dist,uni_mae,init_mae,uni_in,init_in,ess,hp,n,family,p_holm,p_in_holm
synthetic,hole,hetero,jtt,-0.46460375368114165,0.5335711137818162,4.635189008783241,0.0004153236253312542,-3.7749571563130435,0.36,0.6849204666991036,0.12343480492109711,0.18252135919691448,0.39138346237703936,0.40371580756456155,0.9,"jtt|q=0.2,lam=2",50,signal,0.7244860474946364,0.0024919417519875253
synthetic,hole,hetero,density,0.7894471647907042,0.04610038786489312,0.6031956665421018,0.20447619481721802,0.9202234638977458,0.36,0.6849204666991036,0.12343480492109711,0.18252135919691448,0.39138346237703936,0.40371580756456155,0.9585309898205822,density|alpha=0.8,50,signal,0.1844015514595725,0.40895238963443603
synthetic,hole,hetero,smoothed_loss,0.36102224888335877,0.3622430237473182,1.9513617889329917,0.039015525521861605,-0.6742684686631464,0.36,0.6849204666991036,0.12343480492109711,0.18252135919691448,0.39138346237703936,0.40371580756456155,0.9717786450791458,smoothed_loss|alpha=0.2,50,signal,0.7244860474946364,0.11704657656558481
synthetic,hole,hetero,random_centre,-0.41870194740706523,0.3044806608698192,-0.5663466213247962,0.1255634661063354,-0.3213498927226378,0.36,0.6849204666991036,0.12343480492109711,0.18252135919691448,0.39138346237703936,0.40371580756456155,0.9093391281747959,"random_centre|alpha=0.2,sigma=0.2",50,control,0.6089613217396384,0.1255634661063354
synthetic,hole,hetero,oracle,-0.401289748638826,0.7740531775538848,-1.6431200658683704,0.04944640680060175,0.41891773633533863,0.36,0.6849204666991036,0.12343480492109711,0.18252135919691448,0.39138346237703936,0.40371580756456155,0.9238324015407027,"oracle|alpha=0.2,sigma=0.2",50,control,0.7740531775538848,0.0988928136012035
synthetic,hole,outlier,weakspot,0.7150215434742191,0.09513333936720869,1.6683513055661598,0.013686934524772099,0.29966837333567625,0.0,0.5316664754193341,0.17868600735931703,0.25225800084518646,0.4292018030676483,0.4910208945253004,0.9041635427617477,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.2854000181016261,0.06843467262386049
synthetic,hole,outlier,gated,0.0,1.0,0.0,1.0,0.0,0.0,0.5316664754193341,0.17868600735931703,0.25225800084518646,0.4292018030676483,0.4910208945253004,0.9041635427617477,"weakspot|alpha=0.2,sigma=0.2",50,signal,1.0,1.0
synthetic,hole,outlier,loss,-39.38640319933536,1.7763568394002505e-15,-6.7995104179445995,0.10110987171644048,-53.57259518970736,0.0,0.5316664754193341,0.17868600735931703,0.25225800084518646,0.4292018030676483,0.4910208945253004,0.9015028494436169,loss|alpha=0.2,50,signal,1.0658141036401503e-14,0.4044394868657619
synthetic,hole,outlier,jtt,-12.567422016383327,1.7763568394002505e-15,-0.3542336048809405,0.6806447467771797,-17.891046957440707,0.0,0.5316664754193341,0.17868600735931703,0.25225800084518646,0.4292018030676483,0.4910208945253004,0.9,"jtt|q=0.2,lam=2",50,signal,1.0658141036401503e-14,1.0
synthetic,hole,outlier,density,0.5974380851643493,0.14601836144972324,0.7373887117274548,0.215052456193769,0.5237888556216813,0.0,0.5316664754193341,0.17868600735931703,0.25225800084518646,0.4292018030676483,0.4910208945253004,0.9585309898205822,density|alpha=0.8,50,signal,0.2920367228994465,0.645157368581307
synthetic,hole,outlier,smoothed_loss,-1.2490376446636577,0.0002211422351869885,2.0456262445355713,0.0009149367393188612,-2.6788480850521865,0.0,0.5316664754193341,0.17868600735931703,0.25225800084518646,0.4292018030676483,0.4910208945253004,0.9766506242355397,smoothed_loss|alpha=0.2,50,signal,0.000884568940747954,0.005489620435913167
