task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,4004,0.1798879453270672,0.44444026971289186,0.13904076104238722,0.005,0.2670478591282932,0.6942171841556506,0.058329684075800796,uniform,uniform,0.11952468471831917,0.3850062932472273,0.07853401788918041,1.0
synthetic,hard,gauss,4004,0.1798879453270672,0.44444026971289186,0.13904076104238722,0.005,0.2670478591282932,0.6942171841556506,0.058329684075800796,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.12034980932668068,0.36276316968191735,0.0829209066455691,0.9412265580352412
synthetic,hard,gauss,4004,0.1798879453270672,0.44444026971289186,0.13904076104238722,0.005,0.2670478591282932,0.6942171841556506,0.058329684075800796,loss,loss|alpha=0.2,0.12156554800542461,0.36369034011705825,0.08418120059424888,0.9436766449677416
synthetic,hard,gauss,4004,0.1798879453270672,0.44444026971289186,0.13904076104238722,0.005,0.2670478591282932,0.6942171841556506,0.058329684075800796,jtt,"jtt|q=0.2,lam=2",0.11929233552540182,0.36691819963033484,0.08105861624801679,0.8999999999999998
synthetic,hard,gauss,4004,0.1798879453270672,0.44444026971289186,0.13904076104238722,0.005,0.2670478591282932,0.6942171841556506,0.058329684075800796,density,density|alpha=0.8,0.12064216836124285,0.39064415439083566,0.07895355002766936,0.959768697720488
synthetic,hard,gauss,4004,0.1798879453270672,0.44444026971289186,0.13904076104238722,0.005,0.2670478591282932,0.6942171841556506,0.058329684075800796,smoothed_loss,smoothed_loss|alpha=0.2,0.12142408127641759,0.370165333063388,0.08301814485332114,0.9648914745979804
synthetic,hard,gauss,4004,0.1798879453270672,0.44444026971289186,0.13904076104238722,0.005,0.2670478591282932,0.6942171841556506,0.058329684075800796,random_centre,"random_centre|alpha=0.2,sigma=0.2",0.12032235151030628,0.3787765827180152,0.08041671985197316,0.9235145460764516
synthetic,hard,gauss,4004,0.1798879453270672,0.44444026971289186,0.13904076104238722,0.005,0.2670478591282932,0.6942171841556506,0.058329684075800796,oracle,"oracle|alpha=0.2,sigma=0.2",0.12177725670734492,0.3645722925396551,0.08428942289196657,0.9321649832225696
synthetic,hard,gauss,4005,0.29177992714221324,0.468079783345951,0.2679096372162459,0.005,0.2605508690140484,0.7039064957705969,0.0472856423145293,uniform,uniform,0.1719759926981197,0.3831341454557752,0.14338602992054328,1.0
synthetic,hard,gauss,4005,0.29177992714221324,0.468079783345951,0.2679096372162459,0.005,0.2605508690140484,0.7039064957705969,0.0472856423145293,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.17999710035918912,0.352097608224835,0.1566953852720721,0.9416815540239429
synthetic,hard,gauss,4005,0.29177992714221324,0.468079783345951,0.2679096372162459,0.005,0.2605508690140484,0.7039064957705969,0.0472856423145293,loss,loss|alpha=0.2,0.17501711993640223,0.3771996252122379,0.14764242365011962,0.954284712079337
synthetic,hard,gauss,4005,0.29177992714221324,0.468079783345951,0.2679096372162459,0.005,0.2605508690140484,0.7039064957705969,0.0472856423145293,jtt,"jtt|q=0.2,lam=2",0.167856806676887,0.35521656014590314,0.1424890512398388,0.8999999999999998
synthetic,hard,gauss,4005,0.29177992714221324,0.468079783345951,0.2679096372162459,0.005,0.2605508690140484,0.7039064957705969,0.0472856423145293,density,density|alpha=0.8,0.1721968340311975,0.388827711281886,0.1428658864159326,0.9572708787678065
synthetic,hard,gauss,4005,0.29177992714221324,0.468079783345951,0.2679096372162459,0.005,0.2605508690140484,0.7039064957705969,0.0472856423145293,smoothed_loss,smoothed_loss|alpha=0.2,0.16898538912076366,0.374934302262232,0.1411007363905677,0.9766035808956504
synthetic,hard,gauss,4005,0.29177992714221324,0.468079783345951,0.2679096372162459,0.005,0.2605508690140484,0.7039064957705969,0.0472856423145293,random_centre,"random_centre|alpha=0.2,sigma=0.2",0.16641188081466166,0.37508837271202433,0.13815792491484843,0.9314024361594999
synthetic,hard,gauss,4005,0.29177992714221324,0.468079783345951,0.2679096372162459,0.005,0.2605508690140484,0.7039064957705969,0.0472856423145293,oracle,"oracle|alpha=0.2,sigma=0.2",0.1711421031140605,0.36104605955330743,0.14542987284964926,0.9346629098987602
synthetic,hard,gauss,4006,0.16311093170967275,0.3943007040535851,0.1339518613239541,0.02,0.2616029099491011,0.7384232589483322,0.016390498853430947,uniform,uniform,0.09966557029630384,0.31915190920882824,0.07198260863166113,1.0
